nama_penyakit,apakah_menurun,matched_penyakit,obat_pertolongan_pertama,penyakit_perkembangan
Hipertensi,TRUE,Artritis Reumatoid,"Amlodipine, Captopril","Stroke, Serangan Jantung"
Diabetes Mellitus,TRUE,Gastritis,"Insulin, Metformin","Gagal Ginjal, Neuropati"
Kanker Payudara,TRUE,Depresi Mayor,"Kemoterapi, Mastektomi",Metastasis ke Tulang
COVID-19,FALSE,"Asma, Tifus","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Artritis Reumatoid,TRUE,"Artritis Reumatoid, Serangan Jantung","NSAID, Metotreksat",Deformitas Sendi
Artritis Reumatoid,FALSE,"Malaria, Depresi Mayor","NSAID, Metotreksat",Deformitas Sendi
Campak,TRUE,Hemofilia,"Vitamin A, Paracetamol",Ensefalitis
Alzheimer,FALSE,COVID-19,"Donepezil, Memantine",Demensia Berat
Demam Berdarah,FALSE,"Osteoporosis, Skizofrenia, Tifus","Rehidrasi, Paracetamol",Syok Dengue
Asma,FALSE,"Skizofrenia, Gagal Ginjal, Campak","Salbutamol, Budesonide",Gagal Napas
Cacar Air,TRUE,"Malaria, Artritis Reumatoid","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Skizofrenia,TRUE,Epilepsi,"Risperidone, Olanzapine",Disabilitas Sosial
Kanker Paru-paru,FALSE,"Alzheimer, Gagal Ginjal","Kemoterapi, Radioterapi",Metastasis ke Otak
Parkinson,FALSE,"Kanker Payudara, Hemofilia","Levodopa, Pramipexole",Gangguan Gerak Berat
Tuberkulosis,FALSE,Diare Akut,"Rifampisin, Isoniazid",Gagal Paru
Skizofrenia,TRUE,"Cacar Air, Asma, COVID-19","Risperidone, Olanzapine",Disabilitas Sosial
Influenza,FALSE,Artritis Reumatoid,"Oseltamivir, Paracetamol",Pneumonia
Hepatitis B,FALSE,"Demam Berdarah, Cacar Air, Kanker Prostat","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Kanker Kolorektal,FALSE,"Skizofrenia, Cacar Air, Anemia","Operasi, Kemoterapi",Metastasis ke Liver
Hepatitis C,TRUE,"Cacar Air, Hipertensi, Parkinson","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Tifus,TRUE,"Kanker Paru-paru, Migraine","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Diare Akut,TRUE,Epilepsi,"Oralit, Loperamide",Dehidrasi Parah
Depresi Mayor,FALSE,Depresi Mayor,"SSRI, Psikoterapi",Bunuh Diri
Hepatitis C,TRUE,"Campak, Artritis Reumatoid, Stroke","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Hepatitis B,FALSE,Stroke,"Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Demam Berdarah,TRUE,"Alzheimer, Campak","Rehidrasi, Paracetamol",Syok Dengue
Cacar Air,TRUE,"Hemofilia, Diare Akut","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Kanker Payudara,TRUE,"Kanker Paru-paru, Hepatitis B","Kemoterapi, Mastektomi",Metastasis ke Tulang
Epilepsi,FALSE,Anemia,"Fenitoin, Valproat",Gangguan Kognitif
Hepatitis B,FALSE,"Pneumonia, Depresi Mayor, Campak","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Kanker Prostat,FALSE,COVID-19,"Radioterapi, Hormon Terapi",Metastasis ke Tulang
Hipertensi,TRUE,"Depresi Mayor, Gagal Ginjal, Cacar Air","Amlodipine, Captopril","Stroke, Serangan Jantung"
Alzheimer,FALSE,"Cacar Air, Serangan Jantung, Depresi Mayor","Donepezil, Memantine",Demensia Berat
Osteoporosis,FALSE,Epilepsi,"Kalsium, Vitamin D",Fraktur Tulang
Kanker Prostat,FALSE,"COVID-19, Skizofrenia","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Demam Berdarah,TRUE,"Pneumonia, Asma","Rehidrasi, Paracetamol",Syok Dengue
Serangan Jantung,FALSE,Serangan Jantung,"Aspirin, Nitrat",Gagal Jantung
Hepatitis B,FALSE,"Alzheimer, Cacar Air, Tuberkulosis","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Hepatitis C,TRUE,"Influenza, Rubella, Migraine","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Migraine,FALSE,"Stroke, Parkinson, Hemofilia","Sumatriptan, Parasetamol",Gangguan Tidur
Gagal Ginjal,FALSE,"Gagal Ginjal, Alzheimer, Skizofrenia","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Bipolar,FALSE,"Alzheimer, Cacar Air","Lithium, Antidepresan",Depresi Kronis
Demam Berdarah,TRUE,"Demam Berdarah, Bronkitis","Rehidrasi, Paracetamol",Syok Dengue
Hemofilia,FALSE,"Anemia, Campak, Asma",Transfusi Faktor VIII,Pendarahan Internal
Campak,FALSE,"Hipertensi, Asma, Hemofilia","Vitamin A, Paracetamol",Ensefalitis
Gastritis,TRUE,"Artritis Reumatoid, Campak","Antasida, Omeprazole",Ulkus Lambung
Campak,FALSE,"Pneumonia, Migraine","Vitamin A, Paracetamol",Ensefalitis
Hipertensi,TRUE,Migraine,"Amlodipine, Captopril","Stroke, Serangan Jantung"
Stroke,TRUE,"Hipertensi, Campak","Antikoagulan, Rehabilitasi",Kelumpuhan
Influenza,TRUE,"Demam Berdarah, Pneumonia","Oseltamivir, Paracetamol",Pneumonia
Asma,TRUE,"Tifus, Kanker Paru-paru","Salbutamol, Budesonide",Gagal Napas
Depresi Mayor,TRUE,"Cacar Air, Asma, Malaria","SSRI, Psikoterapi",Bunuh Diri
Tifus,TRUE,"Stroke, Diabetes Mellitus","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Parkinson,TRUE,Malaria,"Levodopa, Pramipexole",Gangguan Gerak Berat
Skizofrenia,FALSE,Pneumonia,"Risperidone, Olanzapine",Disabilitas Sosial
Hemofilia,FALSE,"Rubella, Kanker Payudara",Transfusi Faktor VIII,Pendarahan Internal
Hipertensi,TRUE,"Asma, Skizofrenia","Amlodipine, Captopril","Stroke, Serangan Jantung"
Rubella,FALSE,Alzheimer,"Vaksinasi, Istirahat",Cacat Janin
Epilepsi,TRUE,"Alzheimer, Bronkitis, Bipolar","Fenitoin, Valproat",Gangguan Kognitif
Kanker Paru-paru,TRUE,Gagal Ginjal,"Kemoterapi, Radioterapi",Metastasis ke Otak
COVID-19,FALSE,"Artritis Reumatoid, Parkinson, Rubella","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Depresi Mayor,FALSE,"Alzheimer, Kanker Kolorektal","SSRI, Psikoterapi",Bunuh Diri
Hepatitis B,FALSE,"Kanker Payudara, Hipertensi, Kanker Prostat","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Kanker Kolorektal,TRUE,"Kanker Paru-paru, Hemofilia, Kanker Prostat","Operasi, Kemoterapi",Metastasis ke Liver
Migraine,FALSE,"Hepatitis B, COVID-19","Sumatriptan, Parasetamol",Gangguan Tidur
Serangan Jantung,FALSE,Asma,"Aspirin, Nitrat",Gagal Jantung
Campak,FALSE,"Diare Akut, Kanker Kolorektal","Vitamin A, Paracetamol",Ensefalitis
Cacar Air,FALSE,"Bipolar, Hemofilia, Tifus","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Stroke,TRUE,"Bipolar, Gastritis","Antikoagulan, Rehabilitasi",Kelumpuhan
Kanker Paru-paru,FALSE,"Demam Berdarah, Hipertensi, Migraine","Kemoterapi, Radioterapi",Metastasis ke Otak
Skizofrenia,TRUE,Artritis Reumatoid,"Risperidone, Olanzapine",Disabilitas Sosial
Diabetes Mellitus,TRUE,Gagal Ginjal,"Insulin, Metformin","Gagal Ginjal, Neuropati"
Tuberkulosis,TRUE,Bronkitis,"Rifampisin, Isoniazid",Gagal Paru
Serangan Jantung,FALSE,Gastritis,"Aspirin, Nitrat",Gagal Jantung
Hepatitis C,TRUE,"Kanker Payudara, Influenza","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Osteoporosis,FALSE,"Epilepsi, Kanker Kolorektal, Asma","Kalsium, Vitamin D",Fraktur Tulang
Malaria,TRUE,Campak,"Klorokuin, Artemisinin",Anemia Berat
Demam Berdarah,FALSE,"Hepatitis B, Influenza, COVID-19","Rehidrasi, Paracetamol",Syok Dengue
Hepatitis B,TRUE,"Hepatitis B, Parkinson, Migraine","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Influenza,TRUE,Kanker Prostat,"Oseltamivir, Paracetamol",Pneumonia
Diabetes Mellitus,FALSE,"Hipertensi, Demam Berdarah, Skizofrenia","Insulin, Metformin","Gagal Ginjal, Neuropati"
Parkinson,TRUE,"Rubella, Kanker Payudara","Levodopa, Pramipexole",Gangguan Gerak Berat
Hipertensi,FALSE,Hemofilia,"Amlodipine, Captopril","Stroke, Serangan Jantung"
Serangan Jantung,TRUE,Tuberkulosis,"Aspirin, Nitrat",Gagal Jantung
Osteoporosis,TRUE,"Epilepsi, Depresi Mayor, Bronkitis","Kalsium, Vitamin D",Fraktur Tulang
Gastritis,TRUE,"Osteoporosis, Parkinson, Diare Akut","Antasida, Omeprazole",Ulkus Lambung
Epilepsi,FALSE,"Kanker Payudara, Asma","Fenitoin, Valproat",Gangguan Kognitif
Kanker Kolorektal,FALSE,Kanker Payudara,"Operasi, Kemoterapi",Metastasis ke Liver
Skizofrenia,FALSE,"Malaria, COVID-19, Campak","Risperidone, Olanzapine",Disabilitas Sosial
Osteoporosis,TRUE,Tuberkulosis,"Kalsium, Vitamin D",Fraktur Tulang
Parkinson,FALSE,"Campak, Hepatitis C, Cacar Air","Levodopa, Pramipexole",Gangguan Gerak Berat
Bronkitis,FALSE,"Stroke, Hepatitis B, Bipolar","Dextromethorphan, Amoksisilin",Pneumonia
Depresi Mayor,FALSE,"Gastritis, Campak","SSRI, Psikoterapi",Bunuh Diri
COVID-19,FALSE,"Asma, Bronkitis","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Cacar Air,TRUE,"Hepatitis C, Kanker Kolorektal","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
COVID-19,FALSE,Tifus,"Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Hepatitis B,FALSE,"Osteoporosis, Skizofrenia","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Diare Akut,FALSE,"Demam Berdarah, Anemia, Hepatitis C","Oralit, Loperamide",Dehidrasi Parah
Malaria,TRUE,Asma,"Klorokuin, Artemisinin",Anemia Berat
Depresi Mayor,TRUE,"Skizofrenia, Hepatitis C, Serangan Jantung","SSRI, Psikoterapi",Bunuh Diri
Gagal Ginjal,FALSE,"Hipertensi, Campak","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Hipertensi,TRUE,"Anemia, Diabetes Mellitus, Malaria","Amlodipine, Captopril","Stroke, Serangan Jantung"
Campak,TRUE,"Cacar Air, Serangan Jantung","Vitamin A, Paracetamol",Ensefalitis
Kanker Payudara,FALSE,"Hepatitis C, COVID-19","Kemoterapi, Mastektomi",Metastasis ke Tulang
Gagal Ginjal,FALSE,"Kanker Kolorektal, Bipolar","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Serangan Jantung,FALSE,Hepatitis B,"Aspirin, Nitrat",Gagal Jantung
Diabetes Mellitus,TRUE,"Stroke, Hepatitis C","Insulin, Metformin","Gagal Ginjal, Neuropati"
Serangan Jantung,FALSE,"COVID-19, Osteoporosis","Aspirin, Nitrat",Gagal Jantung
Gastritis,FALSE,"Hepatitis C, Serangan Jantung","Antasida, Omeprazole",Ulkus Lambung
Alzheimer,FALSE,Stroke,"Donepezil, Memantine",Demensia Berat
Cacar Air,FALSE,"Hemofilia, Bipolar","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Stroke,FALSE,Asma,"Antikoagulan, Rehabilitasi",Kelumpuhan
Asma,TRUE,"Depresi Mayor, Alzheimer","Salbutamol, Budesonide",Gagal Napas
Depresi Mayor,FALSE,Depresi Mayor,"SSRI, Psikoterapi",Bunuh Diri
Parkinson,FALSE,"COVID-19, Migraine, Influenza","Levodopa, Pramipexole",Gangguan Gerak Berat
Parkinson,FALSE,"Alzheimer, Hepatitis B","Levodopa, Pramipexole",Gangguan Gerak Berat
Demam Berdarah,FALSE,COVID-19,"Rehidrasi, Paracetamol",Syok Dengue
COVID-19,FALSE,Osteoporosis,"Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Kanker Paru-paru,TRUE,"Hepatitis C, Hipertensi","Kemoterapi, Radioterapi",Metastasis ke Otak
Stroke,FALSE,"Hepatitis B, Artritis Reumatoid","Antikoagulan, Rehabilitasi",Kelumpuhan
Alzheimer,TRUE,"Kanker Paru-paru, Bronkitis, Pneumonia","Donepezil, Memantine",Demensia Berat
Bipolar,FALSE,"Stroke, Hepatitis C, Tuberkulosis","Lithium, Antidepresan",Depresi Kronis
Kanker Prostat,FALSE,"Campak, Tifus","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Alzheimer,FALSE,"Gagal Ginjal, Pneumonia, Demam Berdarah","Donepezil, Memantine",Demensia Berat
Diabetes Mellitus,FALSE,"Depresi Mayor, Diare Akut","Insulin, Metformin","Gagal Ginjal, Neuropati"
Kanker Payudara,TRUE,Gastritis,"Kemoterapi, Mastektomi",Metastasis ke Tulang
Kanker Kolorektal,TRUE,"Kanker Payudara, Bipolar","Operasi, Kemoterapi",Metastasis ke Liver
Malaria,FALSE,Parkinson,"Klorokuin, Artemisinin",Anemia Berat
Stroke,TRUE,"Artritis Reumatoid, Epilepsi, Kanker Prostat","Antikoagulan, Rehabilitasi",Kelumpuhan
Tifus,FALSE,"Tuberkulosis, Stroke, Epilepsi","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Epilepsi,FALSE,"Kanker Kolorektal, Epilepsi","Fenitoin, Valproat",Gangguan Kognitif
Epilepsi,FALSE,"Anemia, Hemofilia","Fenitoin, Valproat",Gangguan Kognitif
Gagal Ginjal,FALSE,"Hipertensi, COVID-19, Tuberkulosis","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Migraine,TRUE,"Asma, Kanker Kolorektal, Depresi Mayor","Sumatriptan, Parasetamol",Gangguan Tidur
Kanker Prostat,TRUE,Epilepsi,"Radioterapi, Hormon Terapi",Metastasis ke Tulang
Gagal Ginjal,TRUE,Bipolar,"Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Tifus,TRUE,"Stroke, Cacar Air, Hepatitis C","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Gagal Ginjal,TRUE,"Hepatitis C, Malaria","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Osteoporosis,FALSE,"Diare Akut, Bipolar","Kalsium, Vitamin D",Fraktur Tulang
Hipertensi,TRUE,"Alzheimer, Malaria, Demam Berdarah","Amlodipine, Captopril","Stroke, Serangan Jantung"
Stroke,FALSE,"Gagal Ginjal, Stroke","Antikoagulan, Rehabilitasi",Kelumpuhan
Demam Berdarah,TRUE,"Gagal Ginjal, Kanker Kolorektal, Skizofrenia","Rehidrasi, Paracetamol",Syok Dengue
Bipolar,TRUE,"Tifus, Hipertensi, Campak","Lithium, Antidepresan",Depresi Kronis
Malaria,FALSE,"Skizofrenia, Hepatitis C, Kanker Payudara","Klorokuin, Artemisinin",Anemia Berat
Alzheimer,TRUE,"Hemofilia, Alzheimer","Donepezil, Memantine",Demensia Berat
Bronkitis,TRUE,Diare Akut,"Dextromethorphan, Amoksisilin",Pneumonia
Alzheimer,FALSE,"Cacar Air, Bipolar","Donepezil, Memantine",Demensia Berat
Kanker Payudara,TRUE,"Pneumonia, Demam Berdarah","Kemoterapi, Mastektomi",Metastasis ke Tulang
Campak,FALSE,"Rubella, Tuberkulosis","Vitamin A, Paracetamol",Ensefalitis
Cacar Air,TRUE,"Kanker Kolorektal, Serangan Jantung, Skizofrenia","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Tuberkulosis,FALSE,"Epilepsi, Kanker Kolorektal","Rifampisin, Isoniazid",Gagal Paru
Hemofilia,FALSE,"Migraine, Parkinson",Transfusi Faktor VIII,Pendarahan Internal
Pneumonia,TRUE,Diare Akut,"Azitromisin, Ceftriaxone",Sepsis
Gastritis,TRUE,Tuberkulosis,"Antasida, Omeprazole",Ulkus Lambung
Hipertensi,TRUE,Gagal Ginjal,"Amlodipine, Captopril","Stroke, Serangan Jantung"
Cacar Air,TRUE,"Stroke, Alzheimer","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Hepatitis C,FALSE,"Depresi Mayor, Hepatitis B","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Diare Akut,FALSE,Influenza,"Oralit, Loperamide",Dehidrasi Parah
Demam Berdarah,TRUE,"Gastritis, Parkinson","Rehidrasi, Paracetamol",Syok Dengue
Diare Akut,TRUE,"Bipolar, Epilepsi, Hemofilia","Oralit, Loperamide",Dehidrasi Parah
Migraine,FALSE,Epilepsi,"Sumatriptan, Parasetamol",Gangguan Tidur
Malaria,TRUE,Parkinson,"Klorokuin, Artemisinin",Anemia Berat
Bipolar,FALSE,Kanker Kolorektal,"Lithium, Antidepresan",Depresi Kronis
Hepatitis B,FALSE,Alzheimer,"Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Tifus,FALSE,"Osteoporosis, Rubella, COVID-19","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Depresi Mayor,FALSE,"Hemofilia, Bipolar","SSRI, Psikoterapi",Bunuh Diri
Influenza,TRUE,Migraine,"Oseltamivir, Paracetamol",Pneumonia
Hemofilia,TRUE,"Depresi Mayor, Osteoporosis, Kanker Prostat",Transfusi Faktor VIII,Pendarahan Internal
Migraine,TRUE,Diabetes Mellitus,"Sumatriptan, Parasetamol",Gangguan Tidur
Asma,FALSE,"Diabetes Mellitus, Alzheimer","Salbutamol, Budesonide",Gagal Napas
Stroke,TRUE,"Gastritis, Hipertensi, Depresi Mayor","Antikoagulan, Rehabilitasi",Kelumpuhan
Stroke,FALSE,Pneumonia,"Antikoagulan, Rehabilitasi",Kelumpuhan
Alzheimer,TRUE,"Kanker Prostat, Alzheimer","Donepezil, Memantine",Demensia Berat
Cacar Air,FALSE,"Kanker Paru-paru, Gagal Ginjal, Artritis Reumatoid","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Parkinson,FALSE,Gagal Ginjal,"Levodopa, Pramipexole",Gangguan Gerak Berat
Demam Berdarah,FALSE,"Hepatitis B, Epilepsi","Rehidrasi, Paracetamol",Syok Dengue
Influenza,TRUE,Kanker Kolorektal,"Oseltamivir, Paracetamol",Pneumonia
Hepatitis B,FALSE,"Bronkitis, Kanker Kolorektal","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Malaria,FALSE,"Cacar Air, Demam Berdarah","Klorokuin, Artemisinin",Anemia Berat
Anemia,TRUE,"Demam Berdarah, Skizofrenia, Bronkitis","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Demam Berdarah,FALSE,"Asma, Alzheimer, Hemofilia","Rehidrasi, Paracetamol",Syok Dengue
Gastritis,TRUE,"Kanker Payudara, Influenza","Antasida, Omeprazole",Ulkus Lambung
Malaria,FALSE,"Depresi Mayor, Gagal Ginjal","Klorokuin, Artemisinin",Anemia Berat
Hepatitis C,TRUE,Bipolar,"Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Skizofrenia,FALSE,"Skizofrenia, Serangan Jantung","Risperidone, Olanzapine",Disabilitas Sosial
Osteoporosis,TRUE,"COVID-19, Kanker Payudara","Kalsium, Vitamin D",Fraktur Tulang
Alzheimer,FALSE,Hemofilia,"Donepezil, Memantine",Demensia Berat
Bronkitis,FALSE,"Epilepsi, Stroke, Depresi Mayor","Dextromethorphan, Amoksisilin",Pneumonia
Kanker Paru-paru,FALSE,Hipertensi,"Kemoterapi, Radioterapi",Metastasis ke Otak
Anemia,FALSE,"Campak, Kanker Prostat, Influenza","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Campak,FALSE,"Asma, Diare Akut","Vitamin A, Paracetamol",Ensefalitis
Kanker Prostat,FALSE,Kanker Prostat,"Radioterapi, Hormon Terapi",Metastasis ke Tulang
Skizofrenia,FALSE,"Artritis Reumatoid, Depresi Mayor","Risperidone, Olanzapine",Disabilitas Sosial
Kanker Paru-paru,TRUE,"Campak, Diabetes Mellitus, Hepatitis B","Kemoterapi, Radioterapi",Metastasis ke Otak
Osteoporosis,FALSE,Tuberkulosis,"Kalsium, Vitamin D",Fraktur Tulang
Diabetes Mellitus,TRUE,"Hipertensi, Bronkitis","Insulin, Metformin","Gagal Ginjal, Neuropati"
Depresi Mayor,FALSE,"Influenza, Artritis Reumatoid","SSRI, Psikoterapi",Bunuh Diri
Epilepsi,TRUE,"Anemia, Gastritis","Fenitoin, Valproat",Gangguan Kognitif
Hepatitis C,TRUE,Rubella,"Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Malaria,TRUE,Hemofilia,"Klorokuin, Artemisinin",Anemia Berat
Stroke,TRUE,Depresi Mayor,"Antikoagulan, Rehabilitasi",Kelumpuhan
Tifus,FALSE,Influenza,"Ciprofloxacin, Ceftriaxone",Perforasi Usus
Parkinson,FALSE,"Diabetes Mellitus, Kanker Payudara","Levodopa, Pramipexole",Gangguan Gerak Berat
Parkinson,FALSE,"Stroke, Kanker Prostat, Demam Berdarah","Levodopa, Pramipexole",Gangguan Gerak Berat
Gastritis,TRUE,"Pneumonia, Kanker Kolorektal, Kanker Payudara","Antasida, Omeprazole",Ulkus Lambung
Bronkitis,FALSE,"Parkinson, Osteoporosis, Pneumonia","Dextromethorphan, Amoksisilin",Pneumonia
Demam Berdarah,FALSE,"Hepatitis C, COVID-19","Rehidrasi, Paracetamol",Syok Dengue
Depresi Mayor,FALSE,Diabetes Mellitus,"SSRI, Psikoterapi",Bunuh Diri
Artritis Reumatoid,FALSE,Diabetes Mellitus,"NSAID, Metotreksat",Deformitas Sendi
Skizofrenia,TRUE,Rubella,"Risperidone, Olanzapine",Disabilitas Sosial
Kanker Paru-paru,TRUE,Parkinson,"Kemoterapi, Radioterapi",Metastasis ke Otak
Hepatitis C,TRUE,"Asma, Kanker Prostat","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Kanker Paru-paru,FALSE,"Epilepsi, Serangan Jantung","Kemoterapi, Radioterapi",Metastasis ke Otak
Influenza,FALSE,Osteoporosis,"Oseltamivir, Paracetamol",Pneumonia
Hipertensi,TRUE,"Migraine, Diabetes Mellitus","Amlodipine, Captopril","Stroke, Serangan Jantung"
Diabetes Mellitus,FALSE,Stroke,"Insulin, Metformin","Gagal Ginjal, Neuropati"
Anemia,TRUE,Campak,"Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Asma,TRUE,Campak,"Salbutamol, Budesonide",Gagal Napas
Depresi Mayor,FALSE,"Demam Berdarah, Serangan Jantung, Kanker Payudara","SSRI, Psikoterapi",Bunuh Diri
Alzheimer,TRUE,"Artritis Reumatoid, Cacar Air, Osteoporosis","Donepezil, Memantine",Demensia Berat
Epilepsi,FALSE,"Hipertensi, Artritis Reumatoid","Fenitoin, Valproat",Gangguan Kognitif
Kanker Payudara,FALSE,"Bipolar, Kanker Prostat","Kemoterapi, Mastektomi",Metastasis ke Tulang
Artritis Reumatoid,TRUE,Skizofrenia,"NSAID, Metotreksat",Deformitas Sendi
Depresi Mayor,TRUE,"Gagal Ginjal, Parkinson, Anemia","SSRI, Psikoterapi",Bunuh Diri
Bipolar,TRUE,"Anemia, Campak","Lithium, Antidepresan",Depresi Kronis
Malaria,TRUE,Hepatitis C,"Klorokuin, Artemisinin",Anemia Berat
Migraine,TRUE,"Bronkitis, Kanker Kolorektal","Sumatriptan, Parasetamol",Gangguan Tidur
Rubella,FALSE,"Hipertensi, Tuberkulosis","Vaksinasi, Istirahat",Cacat Janin
Tuberkulosis,FALSE,"Serangan Jantung, Diare Akut, Kanker Kolorektal","Rifampisin, Isoniazid",Gagal Paru
Demam Berdarah,FALSE,"Kanker Kolorektal, COVID-19, Skizofrenia","Rehidrasi, Paracetamol",Syok Dengue
Kanker Paru-paru,FALSE,"Parkinson, Kanker Kolorektal","Kemoterapi, Radioterapi",Metastasis ke Otak
Gastritis,TRUE,"Asma, Diare Akut, Hipertensi","Antasida, Omeprazole",Ulkus Lambung
Kanker Prostat,FALSE,"Kanker Kolorektal, Pneumonia","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Bronkitis,FALSE,"Hepatitis C, Tuberkulosis","Dextromethorphan, Amoksisilin",Pneumonia
Epilepsi,TRUE,Bipolar,"Fenitoin, Valproat",Gangguan Kognitif
Bipolar,TRUE,"Parkinson, Serangan Jantung, Cacar Air","Lithium, Antidepresan",Depresi Kronis
Tuberkulosis,TRUE,Gastritis,"Rifampisin, Isoniazid",Gagal Paru
Rubella,FALSE,"Rubella, Demam Berdarah, Hepatitis B","Vaksinasi, Istirahat",Cacat Janin
Kanker Prostat,FALSE,"Asma, Bronkitis, Gastritis","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Kanker Prostat,FALSE,"Bipolar, Osteoporosis, Hepatitis C","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Kanker Payudara,FALSE,"Influenza, Bipolar, Artritis Reumatoid","Kemoterapi, Mastektomi",Metastasis ke Tulang
Campak,TRUE,Cacar Air,"Vitamin A, Paracetamol",Ensefalitis
Influenza,FALSE,Hipertensi,"Oseltamivir, Paracetamol",Pneumonia
Diare Akut,TRUE,"Pneumonia, Gastritis, Kanker Payudara","Oralit, Loperamide",Dehidrasi Parah
Pneumonia,TRUE,"Kanker Paru-paru, Serangan Jantung, Hepatitis C","Azitromisin, Ceftriaxone",Sepsis
Migraine,FALSE,Gastritis,"Sumatriptan, Parasetamol",Gangguan Tidur
Kanker Kolorektal,FALSE,"Osteoporosis, Demam Berdarah, COVID-19","Operasi, Kemoterapi",Metastasis ke Liver
Artritis Reumatoid,FALSE,"Stroke, Diabetes Mellitus","NSAID, Metotreksat",Deformitas Sendi
Campak,FALSE,"Bronkitis, Asma, Kanker Payudara","Vitamin A, Paracetamol",Ensefalitis
Gagal Ginjal,FALSE,"Rubella, Stroke","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Depresi Mayor,FALSE,"Tuberkulosis, Anemia, Hepatitis B","SSRI, Psikoterapi",Bunuh Diri
Bronkitis,FALSE,"COVID-19, Hepatitis C","Dextromethorphan, Amoksisilin",Pneumonia
Rubella,FALSE,Diare Akut,"Vaksinasi, Istirahat",Cacat Janin
Demam Berdarah,FALSE,"Gastritis, Depresi Mayor, Artritis Reumatoid","Rehidrasi, Paracetamol",Syok Dengue
Gastritis,FALSE,"Asma, Campak","Antasida, Omeprazole",Ulkus Lambung
Asma,TRUE,"Anemia, Migraine","Salbutamol, Budesonide",Gagal Napas
Asma,FALSE,"Kanker Payudara, Bronkitis, Tuberkulosis","Salbutamol, Budesonide",Gagal Napas
Hepatitis C,FALSE,Malaria,"Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Malaria,TRUE,Bipolar,"Klorokuin, Artemisinin",Anemia Berat
Kanker Prostat,FALSE,"COVID-19, Diare Akut","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Hipertensi,TRUE,Malaria,"Amlodipine, Captopril","Stroke, Serangan Jantung"
Kanker Kolorektal,FALSE,"Epilepsi, Alzheimer","Operasi, Kemoterapi",Metastasis ke Liver
Epilepsi,FALSE,"Bronkitis, Osteoporosis","Fenitoin, Valproat",Gangguan Kognitif
Alzheimer,TRUE,"Hipertensi, Gagal Ginjal, Osteoporosis","Donepezil, Memantine",Demensia Berat
Influenza,TRUE,Kanker Paru-paru,"Oseltamivir, Paracetamol",Pneumonia
